bill_number,name,thomas_id,bioguide_id,state,district,sponsor,original_cosponsor,date_signed,date_withdrawn
s1-114,"Hoeven, John",NA,H001061,ND,NA,TRUE,FALSE,2015-01-06,NA
s1-114,"Alexander, Lamar",NA,A000360,TN,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Alexander, Lamar",NA,A000360,TN,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Ayotte, Kelly",NA,A000368,NH,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Ayotte, Kelly",NA,A000368,NH,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Barrasso, John",NA,B001261,WY,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Barrasso, John",NA,B001261,WY,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Blunt, Roy",NA,B000575,MO,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Blunt, Roy",NA,B000575,MO,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Boozman, John",NA,B001236,AR,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Boozman, John",NA,B001236,AR,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Burr, Richard",NA,B001135,NC,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Burr, Richard",NA,B001135,NC,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Capito, Shelley Moore",NA,C001047,WV,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Capito, Shelley Moore",NA,C001047,WV,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Cassidy, Bill",NA,C001075,LA,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Cassidy, Bill",NA,C001075,LA,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Coats, Daniel",NA,C000542,IN,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Coats, Daniel",NA,C000542,IN,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Cochran, Thad",NA,C000567,MS,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Cochran, Thad",NA,C000567,MS,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Collins, Susan M.",NA,C001035,ME,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Collins, Susan M.",NA,C001035,ME,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Corker, Bob",NA,C001071,TN,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Corker, Bob",NA,C001071,TN,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Cornyn, John",NA,C001056,TX,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Cornyn, John",NA,C001056,TX,NA,FALSE,TRUE,2015-01-06,NA
s1-114,"Cotton, Tom",NA,C001095,AR,NA,FALSE,TRUE,2015-01-06,NA
