bill_number,name,thomas_id,bioguide_id,state,district,sponsor,original_cosponsor,date_signed,date_withdrawn
s1-104,"Kempthorne, Dirk",01376,NA,ID,NA,TRUE,FALSE,1995-01-04,NA
s1-104,"Abraham, Spencer",01269,NA,MI,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Ashcroft, John",01274,NA,MO,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Bennett, Robert F.",01280,NA,UT,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Bond, Christopher S.",01286,NA,MO,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Breaux, John B.",00120,NA,LA,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Brown, Hank",00135,NA,CO,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Burns, Conrad R.",01298,NA,MT,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Campbell, Ben Nighthorse",00168,NA,CO,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Coats, Daniel",00209,NA,IN,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Cochran, Thad",00213,NA,MS,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Cohen, William S.",00215,NA,ME,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Conrad, Kent",01307,NA,ND,NA,FALSE,FALSE,1995-01-09,NA
s1-104,"Coverdell, Paul",01310,NA,GA,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Craig, Larry E.",00246,NA,ID,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"D'Amato, Alfonse",01313,NA,NY,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"DeWine, Mike",00293,NA,OH,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Dole, Robert J.",01318,NA,KS,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Domenici, Pete V.",01319,NA,NM,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Exon, J. James",01328,NA,NE,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Faircloth, Lauch",01329,NA,NC,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Feinstein, Dianne",01332,NA,CA,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Frist, William H.",01336,NA,TN,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Glenn, John H., Jr.",01339,NA,OH,NA,FALSE,FALSE,1995-01-04,NA
s1-104,"Gorton, Slade",01341,NA,WA,NA,FALSE,FALSE,1995-01-04,NA
