bill_number,name,thomas_id,bioguide_id,state,district,sponsor,original_cosponsor,date_signed,date_withdrawn
s1-110,"Reid, Harry",00952,NA,NV,NA,TRUE,FALSE,2007-01-04,NA
s1-110,"Bennett, Robert F.",01280,NA,UT,NA,FALSE,FALSE,2007-01-04,NA
s1-110,"Brown, Sherrod",00136,NA,OH,NA,FALSE,FALSE,2007-01-08,NA
s1-110,"Cantwell, Maria",00172,NA,WA,NA,FALSE,FALSE,2007-01-04,NA
s1-110,"Collins, Susan M.",01541,NA,ME,NA,FALSE,FALSE,2007-01-04,NA
s1-110,"Durbin, Richard",00326,NA,IL,NA,FALSE,FALSE,2007-01-04,NA
s1-110,"Feinstein, Dianne",01332,NA,CA,NA,FALSE,FALSE,2007-01-04,NA
s1-110,"Lautenberg, Frank R.",01381,NA,NJ,NA,FALSE,FALSE,2007-01-04,NA
s1-110,"Leahy, Patrick J.",01383,NA,VT,NA,FALSE,FALSE,2007-01-04,NA
s1-110,"Lieberman, Joseph I.",01385,NA,CT,NA,FALSE,FALSE,2007-01-04,NA
s1-110,"Lott, Trent",00707,NA,MS,NA,FALSE,FALSE,2007-01-04,NA
s1-110,"McConnell, Mitch",01395,NA,KY,NA,FALSE,FALSE,2007-01-04,NA
s1-110,"Menendez, Robert",00791,NA,NJ,NA,FALSE,FALSE,2007-01-04,NA
s1-110,"Mikulski, Barbara A.",00802,NA,MD,NA,FALSE,FALSE,2007-01-04,NA
s1-110,"Salazar, Ken",01762,NA,CO,NA,FALSE,FALSE,2007-01-09,NA
s1-110,"Schumer, Charles E.",01036,NA,NY,NA,FALSE,FALSE,2007-01-04,NA
s1-110,"Stabenow, Debbie",01531,NA,MI,NA,FALSE,FALSE,2007-01-04,NA
s1-110,"Webb, Jim",01822,NA,VA,NA,FALSE,FALSE,2007-01-04,NA
s10-110,"Reid, Harry",00952,NA,NV,NA,TRUE,FALSE,2007-01-04,NA
s10-110,"Bayh, Evan",01572,NA,IN,NA,FALSE,FALSE,2007-01-10,NA
s10-110,"Boxer, Barbara",00116,NA,CA,NA,FALSE,FALSE,2007-01-04,NA
s10-110,"Brown, Sherrod",00136,NA,OH,NA,FALSE,FALSE,2007-01-11,NA
s10-110,"Cantwell, Maria",00172,NA,WA,NA,FALSE,FALSE,2007-01-04,NA
s10-110,"Casey, Robert P., Jr.",01828,NA,PA,NA,FALSE,FALSE,2007-02-15,NA
s10-110,"Conrad, Kent",01307,NA,ND,NA,FALSE,FALSE,2007-01-04,NA
s10-110,"Dodd, Christopher J.",00302,NA,CT,NA,FALSE,FALSE,2007-01-29,NA
s10-110,"Durbin, Richard",00326,NA,IL,NA,FALSE,FALSE,2007-01-04,NA
s10-110,"Feingold, Russell D.",01331,NA,WI,NA,FALSE,FALSE,2007-01-04,NA
s10-110,"Feinstein, Dianne",01332,NA,CA,NA,FALSE,FALSE,2007-01-11,NA
s10-110,"Harkin, Tom",00501,NA,IA,NA,FALSE,FALSE,2007-01-04,NA
s10-110,"Kerry, John F.",01379,NA,MA,NA,FALSE,FALSE,2007-01-04,NA
