bill_number,name,thomas_id,bioguide_id,state,district,sponsor,original_cosponsor,date_signed,date_withdrawn
s1-111,"Reid, Harry",00952,NA,NV,NA,TRUE,FALSE,2009-01-06,NA
s1-111,"Begich, Mark",01898,NA,AK,NA,FALSE,FALSE,2009-01-06,NA
s1-111,"Bingaman, Jeff",01285,NA,NM,NA,FALSE,FALSE,2009-01-06,NA
s1-111,"Boxer, Barbara",00116,NA,CA,NA,FALSE,FALSE,2009-01-06,NA
s1-111,"Brown, Sherrod",00136,NA,OH,NA,FALSE,FALSE,2009-01-07,NA
s1-111,"Casey, Robert P., Jr.",01828,NA,PA,NA,FALSE,FALSE,2009-01-06,NA
s1-111,"Clinton, Hillary Rodham",01631,NA,NY,NA,FALSE,FALSE,2009-01-06,NA
s1-111,"Durbin, Richard",00326,NA,IL,NA,FALSE,FALSE,2009-01-06,NA
s1-111,"Kennedy, Edward M.",01377,NA,MA,NA,FALSE,FALSE,2009-01-06,NA
s1-111,"Kerry, John F.",01379,NA,MA,NA,FALSE,FALSE,2009-01-06,NA
s1-111,"Klobuchar, Amy",01826,NA,MN,NA,FALSE,FALSE,2009-01-06,NA
s1-111,"Lautenberg, Frank R.",01381,NA,NJ,NA,FALSE,FALSE,2009-01-06,NA
s1-111,"Levin, Carl",01384,NA,MI,NA,FALSE,FALSE,2009-01-06,NA
s1-111,"Lieberman, Joseph I.",01385,NA,CT,NA,FALSE,FALSE,2009-01-06,NA
s1-111,"McCaskill, Claire",01820,NA,MO,NA,FALSE,FALSE,2009-01-06,NA
s1-111,"Menendez, Robert",00791,NA,NJ,NA,FALSE,FALSE,2009-01-06,NA
s1-111,"Schumer, Charles E.",01036,NA,NY,NA,FALSE,FALSE,2009-01-06,NA
s1-111,"Stabenow, Debbie",01531,NA,MI,NA,FALSE,FALSE,2009-01-06,NA
s10-111,"Reid, Harry",00952,NA,NV,NA,TRUE,FALSE,2009-01-06,NA
s10-111,"Begich, Mark",01898,NA,AK,NA,FALSE,FALSE,2009-01-06,NA
s10-111,"Bingaman, Jeff",01285,NA,NM,NA,FALSE,FALSE,2009-01-06,NA
s10-111,"Boxer, Barbara",00116,NA,CA,NA,FALSE,FALSE,2009-01-06,NA
s10-111,"Brown, Sherrod",00136,NA,OH,NA,FALSE,FALSE,2009-01-07,NA
s10-111,"Carper, Thomas R.",00179,NA,DE,NA,FALSE,FALSE,2009-01-06,NA
s10-111,"Clinton, Hillary Rodham",01631,NA,NY,NA,FALSE,FALSE,2009-01-06,NA
s10-111,"Conrad, Kent",01307,NA,ND,NA,FALSE,FALSE,2009-01-06,NA
s10-111,"Durbin, Richard",00326,NA,IL,NA,FALSE,FALSE,2009-01-06,NA
s10-111,"Klobuchar, Amy",01826,NA,MN,NA,FALSE,FALSE,2009-01-06,NA
s10-111,"Levin, Carl",01384,NA,MI,NA,FALSE,FALSE,2009-01-06,NA
s10-111,"McCaskill, Claire",01820,NA,MO,NA,FALSE,FALSE,2009-01-06,NA
s10-111,"Menendez, Robert",00791,NA,NJ,NA,FALSE,FALSE,2009-01-06,NA
s10-111,"Mikulski, Barbara A.",00802,NA,MD,NA,FALSE,FALSE,2009-01-06,NA
s10-111,"Schumer, Charles E.",01036,NA,NY,NA,FALSE,FALSE,2009-01-06,NA
s10-111,"Stabenow, Debbie",01531,NA,MI,NA,FALSE,FALSE,2009-01-06,NA
s100-111,"Vitter, David",01609,NA,LA,NA,TRUE,FALSE,2009-01-06,NA
s1000-111,"Casey, Robert P., Jr.",01828,NA,PA,NA,TRUE,FALSE,2009-05-07,NA
s1000-111,"Lincoln, Blanche L.",01570,NA,AR,NA,FALSE,FALSE,2009-05-07,NA
s1001-111,"Lugar, Richard G.",01387,NA,IN,NA,TRUE,FALSE,2009-05-07,NA
s1001-111,"Bingaman, Jeff",01285,NA,NM,NA,FALSE,FALSE,2009-05-07,NA
s1002-111,"Casey, Robert P., Jr.",01828,NA,PA,NA,TRUE,FALSE,2009-05-07,NA
s1002-111,"Durbin, Richard",00326,NA,IL,NA,FALSE,FALSE,2009-10-27,NA
s1002-111,"Johnson, Tim",00604,NA,SD,NA,FALSE,FALSE,2009-07-06,NA
s1002-111,"Lincoln, Blanche L.",01570,NA,AR,NA,FALSE,FALSE,2009-05-07,NA
s1002-111,"Shaheen, Jeanne",01901,NA,NH,NA,FALSE,FALSE,2010-06-18,NA
s1002-111,"Stabenow, Debbie",01531,NA,MI,NA,FALSE,FALSE,2009-08-07,NA
s1003-111,"Reed, Jack",00949,NA,RI,NA,TRUE,FALSE,2009-05-07,NA
s1003-111,"Sanders, Bernard",01010,NA,VT,NA,FALSE,FALSE,2009-05-21,NA
s1004-111,"Lincoln, Blanche L.",01570,NA,AR,NA,TRUE,FALSE,2009-05-07,NA
s1004-111,"Collins, Susan M.",01541,NA,ME,NA,FALSE,FALSE,2009-05-07,NA
s1004-111,"Kohl, Herb",01380,NA,WI,NA,FALSE,FALSE,2009-06-17,NA
s1005-111,"Cardin, Benjamin L.",00174,NA,MD,NA,TRUE,FALSE,2009-05-07,NA
