bill_number,name,thomas_id,bioguide_id,state,district,sponsor,original_cosponsor,date_signed,date_withdrawn
s1-100,"Burdick, Quentin N.",01297,NA,ND,NA,TRUE,FALSE,1987-01-06,NA
s1-100,"Adams, Brock",00005,NA,WA,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Baucus, Max",00066,NA,MT,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Bentsen, Lloyd M.",01282,NA,TX,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Biden, Joseph R., Jr.",01284,NA,DE,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Bingaman, Jeff",01285,NA,NM,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Bond, Christopher S.",01286,NA,MO,NA,FALSE,FALSE,1987-01-14,NA
s1-100,"Boren, David L.",01287,NA,OK,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Bradley, Bill",01289,NA,NJ,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Bumpers, Dale",01295,NA,AR,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Byrd, Robert C.",01299,NA,WV,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Chafee, John H.",01303,NA,RI,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Chiles, Lawton",01304,NA,FL,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Cohen, William S.",00215,NA,ME,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Conrad, Kent",01307,NA,ND,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Cranston, Alan",01311,NA,CA,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"D'Amato, Alfonse",01313,NA,NY,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Danforth, John C.",01314,NA,MO,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Daschle, Thomas A.",00267,NA,SD,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"DeConcini, Dennis",01315,NA,AZ,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Dixon, Alan J.",01317,NA,IL,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Dodd, Christopher J.",00302,NA,CT,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Domenici, Pete V.",01319,NA,NM,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Durenberger, Dave",01321,NA,MN,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Evans, Daniel J.",01327,NA,WA,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Exon, J. James",01328,NA,NE,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Ford, Wendell H.",01334,NA,KY,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Fowler, Wyche, Jr.",00405,NA,GA,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Glenn, John H., Jr.",01339,NA,OH,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Gore, Albert, Jr.",00449,NA,TN,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Graham, Bob",01342,NA,FL,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Harkin, Tom",00501,NA,IA,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Hatfield, Mark O.",01352,NA,OR,NA,FALSE,FALSE,1987-01-21,NA
s1-100,"Heinz, John",00528,NA,PA,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Hollings, Ernest F.",01361,NA,SC,NA,FALSE,FALSE,1987-01-06,NA
s1-100,"Humphrey, Gordon J.",01365,NA,NH,NA,FALSE,FALSE,1987-01-06,NA
