bill_number,name,thomas_id,bioguide_id,state,district,sponsor,original_cosponsor,date_signed,date_withdrawn
s1-113,"Reid, Harry",00952,NA,NV,NA,TRUE,FALSE,2013-01-22,NA
s1-113,"Blumenthal, Richard",02076,NA,CT,NA,FALSE,FALSE,2013-01-22,NA
s1-113,"Boxer, Barbara",00116,NA,CA,NA,FALSE,FALSE,2013-01-22,NA
s1-113,"Brown, Sherrod",00136,NA,OH,NA,FALSE,FALSE,2013-01-22,NA
s1-113,"Coons, Christopher A.",01984,NA,DE,NA,FALSE,FALSE,2013-01-22,NA
s1-113,"Durbin, Richard",00326,NA,IL,NA,FALSE,FALSE,2013-01-22,NA
s1-113,"Feinstein, Dianne",01332,NA,CA,NA,FALSE,FALSE,2013-01-22,NA
s1-113,"Gillibrand, Kirsten E.",01866,NA,NY,NA,FALSE,FALSE,2013-01-22,NA
s1-113,"Heinrich, Martin",01937,NA,NM,NA,FALSE,FALSE,2013-01-22,NA
s1-113,"Hirono, Mazie K.",01844,NA,HI,NA,FALSE,FALSE,2013-01-22,NA
s1-113,"Klobuchar, Amy",01826,NA,MN,NA,FALSE,FALSE,2013-01-22,NA
s1-113,"Leahy, Patrick J.",01383,NA,VT,NA,FALSE,FALSE,2013-01-22,NA
s1-113,"Levin, Carl",01384,NA,MI,NA,FALSE,FALSE,2013-01-22,NA
s1-113,"Menendez, Robert",00791,NA,NJ,NA,FALSE,FALSE,2013-01-22,NA
s1-113,"Schatz, Brian",02173,NA,HI,NA,FALSE,FALSE,2013-01-22,NA
s1-113,"Schumer, Charles E.",01036,NA,NY,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Reid, Harry",00952,NA,NV,NA,TRUE,FALSE,2013-01-22,NA
s10-113,"Baucus, Max",00066,NA,MT,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Bennet, Michael F.",01965,NA,CO,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Brown, Sherrod",00136,NA,OH,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Carper, Thomas R.",00179,NA,DE,NA,FALSE,FALSE,2013-01-23,NA
s10-113,"Casey, Robert P., Jr.",01828,NA,PA,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Coons, Christopher A.",01984,NA,DE,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Donnelly, Joe",01850,NA,IN,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Durbin, Richard",00326,NA,IL,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Franken, Al",01969,NA,MN,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Harkin, Tom",00501,NA,IA,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Heitkamp, Heidi",02174,NA,ND,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Johnson, Tim",00604,NA,SD,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Klobuchar, Amy",01826,NA,MN,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Leahy, Patrick J.",01383,NA,VT,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Levin, Carl",01384,NA,MI,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Schatz, Brian",02173,NA,HI,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Schumer, Charles E.",01036,NA,NY,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Stabenow, Debbie",01531,NA,MI,NA,FALSE,FALSE,2013-01-22,NA
s10-113,"Tester, Jon",01829,NA,MT,NA,FALSE,FALSE,2013-01-22,NA
s100-113,"Vitter, David",01609,NA,LA,NA,TRUE,FALSE,2013-01-23,NA
