bill_number,name,thomas_id,bioguide_id,state,district,sponsor,original_cosponsor,date_signed,date_withdrawn
s1-93,"McClellan, John L.",01393,NA,AR,NA,TRUE,FALSE,1973-01-04,NA
s1-93,"Ervin, Sam J., Jr.",01326,NA,NC,NA,FALSE,FALSE,1973-01-03,NA
s1-93,"Hruska, Roman L.",01362,NA,NE,NA,FALSE,FALSE,1973-01-03,NA
s10-93,"McClellan, John L.",01393,NA,AR,NA,TRUE,FALSE,1973-01-04,NA
s100-93,"Pell, Claiborne",01417,NA,RI,NA,TRUE,FALSE,1973-01-04,NA
s100-93,"Humphrey, Hubert H.",01366,NA,MN,NA,FALSE,FALSE,1973-01-03,NA
s100-93,"Inouye, Daniel K.",01369,NA,HI,NA,FALSE,FALSE,1973-01-03,NA
s1000-93,"Inouye, Daniel K.",01369,NA,HI,NA,TRUE,FALSE,1973-02-26,NA
s1001-93,"Inouye, Daniel K.",01369,NA,HI,NA,TRUE,FALSE,1973-02-26,NA
s1002-93,"McIntyre, Thomas J.",01398,NA,NH,NA,TRUE,FALSE,1973-02-26,NA
s1003-93,"Packwood, Bob",01414,NA,OR,NA,TRUE,FALSE,1973-02-26,NA
s1003-93,"Bartlett, Dewey F.",01276,NA,OK,NA,FALSE,FALSE,1973-01-03,NA
s1003-93,"Brock, Bill",01291,NA,TN,NA,FALSE,FALSE,1973-01-03,NA
s1003-93,"Curtis, Carl T.",01312,NA,NE,NA,FALSE,FALSE,1973-01-03,NA
s1003-93,"Dominick, Peter H.",01320,NA,CO,NA,FALSE,FALSE,1973-01-03,NA
s1003-93,"Fannin, Paul J.",01330,NA,AZ,NA,FALSE,FALSE,1973-01-03,NA
s1003-93,"Fong, Hiram L.",01333,NA,HI,NA,FALSE,FALSE,1973-01-03,NA
s1003-93,"Goldwater, Barry",01340,NA,AZ,NA,FALSE,FALSE,1973-01-03,NA
s1003-93,"Hansen, Clifford P.",01346,NA,WY,NA,FALSE,FALSE,1973-01-03,NA
s1003-93,"Hruska, Roman L.",01362,NA,NE,NA,FALSE,FALSE,1973-01-03,NA
s1003-93,"McClellan, John L.",01393,NA,AR,NA,FALSE,FALSE,1973-01-03,NA
s1003-93,"Thurmond, Strom",01448,NA,SC,NA,FALSE,FALSE,1973-01-03,NA
s1003-93,"Tower, John G.",01449,NA,TX,NA,FALSE,FALSE,1973-01-03,NA
s1004-93,"McGovern, George",01397,NA,SD,NA,TRUE,FALSE,1973-02-26,NA
s1004-93,"Burdick, Quentin N.",01297,NA,ND,NA,FALSE,FALSE,1973-01-03,NA
s1004-93,"Randolph, Jennings",01421,NA,WV,NA,FALSE,FALSE,1973-01-03,NA
s1005-93,"Case, Clifford P.",01302,NA,NJ,NA,TRUE,FALSE,1973-02-26,NA
s1005-93,"Cranston, Alan",01311,NA,CA,NA,FALSE,FALSE,1973-01-03,NA
s1005-93,"Hart, Philip A.",01348,NA,MI,NA,FALSE,FALSE,1973-01-03,NA
s1005-93,"Humphrey, Hubert H.",01366,NA,MN,NA,FALSE,FALSE,1973-01-03,NA
s1005-93,"Kennedy, Edward M.",01377,NA,MA,NA,FALSE,FALSE,1973-01-03,NA
s1005-93,"Montoya, Joseph M.",01403,NA,NM,NA,FALSE,FALSE,1973-01-03,NA
s1005-93,"Moss, Frank E.",01406,NA,UT,NA,FALSE,FALSE,1973-01-03,NA
s1005-93,"Muskie, Edmund S.",01410,NA,ME,NA,FALSE,FALSE,1973-01-03,NA
s1005-93,"Pell, Claiborne",01417,NA,RI,NA,FALSE,FALSE,1973-01-03,NA
s1005-93,"Percy, Charles H.",01418,NA,IL,NA,FALSE,FALSE,1973-01-03,NA
s1005-93,"Schweiker, Richard S.",01431,NA,PA,NA,FALSE,FALSE,1973-01-03,NA
s1005-93,"Stafford, Robert T.",01438,NA,VT,NA,FALSE,FALSE,1973-01-03,NA
s1005-93,"Tunney, John V.",01450,NA,CA,NA,FALSE,FALSE,1973-01-03,NA
s1006-93,"Dominick, Peter H.",01320,NA,CO,NA,TRUE,FALSE,1973-02-26,NA
