bill_number,name,thomas_id,bioguide_id,state,district,sponsor,original_cosponsor,date_signed,date_withdrawn
s1-108,"Frist, William H.",01336,NA,TN,NA,TRUE,FALSE,2003-06-11,NA
s1-108,"Baucus, Max",00066,NA,MT,NA,FALSE,FALSE,2003-06-11,NA
s1-108,"Grassley, Chuck",00457,NA,IA,NA,FALSE,FALSE,2003-06-11,NA
s1-108,"Hatch, Orrin G.",01351,NA,UT,NA,FALSE,FALSE,2003-06-17,NA
s1-108,"Snowe, Olympia J.",01085,NA,ME,NA,FALSE,FALSE,2003-06-17,NA
s10-108,"Daschle, Thomas A.",00267,NA,SD,NA,TRUE,FALSE,2003-01-07,NA
s10-108,"Akaka, Daniel K.",00007,NA,HI,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Boxer, Barbara",00116,NA,CA,NA,FALSE,FALSE,2003-01-09,NA
s10-108,"Clinton, Hillary Rodham",01631,NA,NY,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Corzine, Jon S.",01630,NA,NJ,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Dayton, Mark",01629,NA,MN,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Dodd, Christopher J.",00302,NA,CT,NA,FALSE,FALSE,2003-01-09,NA
s10-108,"Durbin, Richard",00326,NA,IL,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Inouye, Daniel K.",01369,NA,HI,NA,FALSE,FALSE,2003-02-13,NA
s10-108,"Johnson, Tim",00604,NA,SD,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Kennedy, Edward M.",01377,NA,MA,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Lautenberg, Frank R.",01381,NA,NJ,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Leahy, Patrick J.",01383,NA,VT,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Levin, Carl",01384,NA,MI,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Lieberman, Joseph I.",01385,NA,CT,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Mikulski, Barbara A.",00802,NA,MD,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Murray, Patty",01409,NA,WA,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Pryor, Mark L.",01701,NA,AR,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Reid, Harry",00952,NA,NV,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Rockefeller, John D., IV",01424,NA,WV,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Sarbanes, Paul S.",01017,NA,MD,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Schumer, Charles E.",01036,NA,NY,NA,FALSE,FALSE,2003-01-07,NA
s10-108,"Stabenow, Debbie",01531,NA,MI,NA,FALSE,FALSE,2003-01-07,NA
s100-108,"Collins, Susan M.",01541,NA,ME,NA,TRUE,FALSE,2003-01-07,NA
s100-108,"Landrieu, Mary L.",01546,NA,LA,NA,FALSE,FALSE,2003-01-07,NA
s1000-108,"Graham, Lindsey",00452,NA,SC,NA,TRUE,FALSE,2003-05-06,NA
s1000-108,"Allen, George",00013,NA,VA,NA,FALSE,FALSE,2003-05-06,NA
s1000-108,"Breaux, John B.",00120,NA,LA,NA,FALSE,FALSE,2003-05-15,NA
s1000-108,"Chambliss, Saxby",00188,NA,GA,NA,FALSE,FALSE,2003-05-08,NA
s1000-108,"Clinton, Hillary Rodham",01631,NA,NY,NA,FALSE,FALSE,2003-05-06,NA
s1000-108,"Cochran, Thad",00213,NA,MS,NA,FALSE,FALSE,2003-05-21,NA
s1000-108,"Coleman, Norm",01697,NA,MN,NA,FALSE,FALSE,2003-05-06,NA
s1000-108,"Dayton, Mark",01629,NA,MN,NA,FALSE,FALSE,2003-10-24,NA
s1000-108,"Johnson, Tim",00604,NA,SD,NA,FALSE,FALSE,2003-05-09,NA
s1000-108,"Kennedy, Edward M.",01377,NA,MA,NA,FALSE,FALSE,2003-05-08,NA
s1000-108,"Landrieu, Mary L.",01546,NA,LA,NA,FALSE,FALSE,2003-05-06,NA
s1000-108,"Lautenberg, Frank R.",01381,NA,NJ,NA,FALSE,FALSE,2003-05-13,NA
s1000-108,"Miller, Zell",01624,NA,GA,NA,FALSE,FALSE,2003-05-06,NA
s1000-108,"Reid, Harry",00952,NA,NV,NA,FALSE,FALSE,2003-10-24,NA
s1000-108,"Schumer, Charles E.",01036,NA,NY,NA,FALSE,FALSE,2003-06-20,NA
s1001-108,"Biden, Joseph R., Jr.",01284,NA,DE,NA,TRUE,FALSE,2003-05-06,NA
s1001-108,"Bingaman, Jeff",01285,NA,NM,NA,FALSE,FALSE,2003-05-07,NA
s1001-108,"Boxer, Barbara",00116,NA,CA,NA,FALSE,FALSE,2004-02-23,NA
s1001-108,"Clinton, Hillary Rodham",01631,NA,NY,NA,FALSE,FALSE,2003-05-06,NA
