bill_number,name,thomas_id,bioguide_id,state,district,sponsor,original_cosponsor,date_signed,date_withdrawn
s1-109,"Martinez, Mel",01769,NA,FL,NA,TRUE,FALSE,2006-12-08,NA
s1-109,"Allard, Wayne",00011,NA,CO,NA,FALSE,FALSE,2006-12-08,NA
s1-109,"Allen, George",00013,NA,VA,NA,FALSE,FALSE,2006-12-08,NA
s1-109,"Dole, Elizabeth",01698,NA,NC,NA,FALSE,FALSE,2006-12-08,NA
s1-109,"Enzi, Michael B.",01542,NA,WY,NA,FALSE,FALSE,2006-12-08,NA
s1-109,"Hagel, Chuck",01545,NA,NE,NA,FALSE,FALSE,2006-12-08,NA
s1-109,"Kyl, Jon",00655,NA,AZ,NA,FALSE,FALSE,2006-12-08,NA
s10-109,"Domenici, Pete V.",01319,NA,NM,NA,TRUE,FALSE,2005-06-09,NA
s100-109,"Allard, Wayne",00011,NA,CO,NA,TRUE,FALSE,2005-01-24,NA
s100-109,"Salazar, Ken",01762,NA,CO,NA,FALSE,FALSE,2005-01-24,NA
s1000-109,"Wyden, Ron",01247,NA,OR,NA,TRUE,FALSE,2005-05-11,NA
s1001-109,"Wyden, Ron",01247,NA,OR,NA,TRUE,FALSE,2005-05-11,NA
s1002-109,"Grassley, Chuck",00457,NA,IA,NA,TRUE,FALSE,2005-05-11,NA
s1002-109,"Alexander, Lamar",01695,NA,TN,NA,FALSE,FALSE,2005-07-28,NA
s1002-109,"Baucus, Max",00066,NA,MT,NA,FALSE,FALSE,2005-05-11,NA
s1002-109,"Boxer, Barbara",00116,NA,CA,NA,FALSE,FALSE,2005-10-03,NA
s1002-109,"Cantwell, Maria",00172,NA,WA,NA,FALSE,FALSE,2005-06-08,NA
s1002-109,"Conrad, Kent",01307,NA,ND,NA,FALSE,FALSE,2005-07-29,NA
s1002-109,"Dayton, Mark",01629,NA,MN,NA,FALSE,FALSE,2005-10-03,NA
s1002-109,"Dorgan, Byron L.",00308,NA,ND,NA,FALSE,FALSE,2005-09-06,NA
s1002-109,"Durbin, Richard",00326,NA,IL,NA,FALSE,FALSE,2005-06-07,NA
s1002-109,"Graham, Lindsey",00452,NA,SC,NA,FALSE,FALSE,2005-07-28,NA
s1002-109,"Hagel, Chuck",01545,NA,NE,NA,FALSE,FALSE,2005-07-28,NA
s1002-109,"Harkin, Tom",00501,NA,IA,NA,FALSE,FALSE,2005-09-06,NA
s1002-109,"Inouye, Daniel K.",01369,NA,HI,NA,FALSE,FALSE,2005-06-22,NA
s1002-109,"Jeffords, James M.",00593,NA,VT,NA,FALSE,FALSE,2005-12-21,NA
s1002-109,"Landrieu, Mary L.",01546,NA,LA,NA,FALSE,FALSE,2005-07-27,NA
s1002-109,"Lincoln, Blanche L.",01570,NA,AR,NA,FALSE,FALSE,2005-06-06,NA
s1002-109,"Nelson, Bill",00859,NA,FL,NA,FALSE,FALSE,2005-07-11,NA
s1002-109,"Roberts, Pat",00968,NA,KS,NA,FALSE,FALSE,2005-05-25,NA
s1002-109,"Salazar, Ken",01762,NA,CO,NA,FALSE,FALSE,2005-05-25,NA
s1002-109,"Santorum, Rick",01015,NA,PA,NA,FALSE,FALSE,2005-09-08,NA
s1002-109,"Smith, Gordon H.",01549,NA,OR,NA,FALSE,FALSE,2005-06-15,NA
s1002-109,"Snowe, Olympia J.",01085,NA,ME,NA,FALSE,FALSE,2005-07-29,NA
s1002-109,"Specter, Arlen",01437,NA,PA,NA,FALSE,FALSE,2006-11-13,NA
s1002-109,"Sununu, John E.",01532,NA,NH,NA,FALSE,FALSE,2005-10-26,NA
s1003-109,"McCain, John",00754,NA,AZ,NA,TRUE,FALSE,2005-05-11,NA
s1004-109,"Allen, George",00013,NA,VA,NA,TRUE,FALSE,2005-05-11,NA
s1004-109,"DeMint, Jim",01605,NA,SC,NA,FALSE,FALSE,2005-10-26,NA
s1004-109,"Ensign, John",00348,NA,NV,NA,FALSE,FALSE,2005-05-11,NA
s1004-109,"Enzi, Michael B.",01542,NA,WY,NA,FALSE,FALSE,2005-09-07,NA
s1004-109,"Smith, Gordon H.",01549,NA,OR,NA,FALSE,FALSE,2005-05-11,NA
s1004-109,"Sununu, John E.",01532,NA,NH,NA,FALSE,FALSE,2005-07-11,NA
s1005-109,"Lugar, Richard G.",01387,NA,IN,NA,TRUE,FALSE,2005-05-11,NA
s1005-109,"Feinstein, Dianne",01332,NA,CA,NA,FALSE,FALSE,2006-03-06,NA
s1006-109,"Kyl, Jon",00655,NA,AZ,NA,TRUE,FALSE,2005-05-11,NA
s1006-109,"Cornyn, John",01692,NA,TX,NA,FALSE,FALSE,2005-05-11,NA
s1006-109,"Hutchison, Kay Bailey",01368,NA,TX,NA,FALSE,FALSE,2005-05-11,NA
s1007-109,"Bingaman, Jeff",01285,NA,NM,NA,TRUE,FALSE,2005-05-11,NA
s1007-109,"Chafee, Lincoln",01612,NA,RI,NA,FALSE,FALSE,2005-07-29,NA
s1007-109,"Hutchison, Kay Bailey",01368,NA,TX,NA,FALSE,FALSE,2005-05-11,NA
s1007-109,"Jeffords, James M.",00593,NA,VT,NA,FALSE,FALSE,2005-05-11,NA
s1007-109,"Johnson, Tim",00604,NA,SD,NA,FALSE,FALSE,2005-09-28,NA
s1007-109,"Leahy, Patrick J.",01383,NA,VT,NA,FALSE,FALSE,2005-06-09,NA
s1007-109,"Lincoln, Blanche L.",01570,NA,AR,NA,FALSE,FALSE,2005-07-29,NA
s1007-109,"Pryor, Mark L.",01701,NA,AR,NA,FALSE,FALSE,2005-07-29,NA
s1007-109,"Reid, Harry",00952,NA,NV,NA,FALSE,FALSE,2005-05-11,NA
s1007-109,"Rockefeller, John D., IV",01424,NA,WV,NA,FALSE,FALSE,2005-05-11,NA
s1007-109,"Snowe, Olympia J.",01085,NA,ME,NA,FALSE,FALSE,2005-05-11,NA
s1008-109,"Santorum, Rick",01015,NA,PA,NA,TRUE,FALSE,2005-05-12,NA
s1008-109,"Dodd, Christopher J.",00302,NA,CT,NA,FALSE,FALSE,2006-05-08,NA
s1009-109,"Crapo, Mike",00250,NA,ID,NA,TRUE,FALSE,2005-05-12,NA
s1009-109,"Craig, Larry E.",00246,NA,ID,NA,FALSE,FALSE,2005-05-12,NA
s101-109,"Enzi, Michael B.",01542,NA,WY,NA,TRUE,FALSE,2005-01-24,NA
s1010-109,"Santorum, Rick",01015,NA,PA,NA,TRUE,FALSE,2005-05-12,NA
s1010-109,"Akaka, Daniel K.",00007,NA,HI,NA,FALSE,FALSE,2005-06-08,NA
s1010-109,"Bingaman, Jeff",01285,NA,NM,NA,FALSE,FALSE,2005-05-12,NA
s1010-109,"Bunning, Jim",00146,NA,KY,NA,FALSE,FALSE,2005-06-08,NA
s1010-109,"Burns, Conrad R.",01298,NA,MT,NA,FALSE,FALSE,2005-09-13,NA
s1010-109,"Byrd, Robert C.",01299,NA,WV,NA,FALSE,FALSE,2005-10-04,NA
s1010-109,"Chafee, Lincoln",01612,NA,RI,NA,FALSE,FALSE,2005-06-14,NA
s1010-109,"Cochran, Thad",00213,NA,MS,NA,FALSE,FALSE,2005-10-04,NA
s1010-109,"Coleman, Norm",01697,NA,MN,NA,FALSE,FALSE,2005-07-14,NA
s1010-109,"Collins, Susan M.",01541,NA,ME,NA,FALSE,FALSE,2005-05-12,NA
s1010-109,"Corzine, Jon S.",01630,NA,NJ,NA,FALSE,FALSE,2005-05-19,NA
s1010-109,"Dayton, Mark",01629,NA,MN,NA,FALSE,FALSE,2005-07-01,NA
s1010-109,"Dorgan, Byron L.",00308,NA,ND,NA,FALSE,FALSE,2005-05-12,NA
s1010-109,"Graham, Lindsey",00452,NA,SC,NA,FALSE,FALSE,2005-05-12,NA
s1010-109,"Jeffords, James M.",00593,NA,VT,NA,FALSE,FALSE,2005-05-12,NA
s1010-109,"Landrieu, Mary L.",01546,NA,LA,NA,FALSE,FALSE,2005-05-12,NA
s1010-109,"Lieberman, Joseph I.",01385,NA,CT,NA,FALSE,FALSE,2005-05-12,NA
s1010-109,"Lincoln, Blanche L.",01570,NA,AR,NA,FALSE,FALSE,2005-07-13,NA
s1010-109,"Nelson, E. Benjamin",01627,NA,NE,NA,FALSE,FALSE,2005-05-12,NA
s1010-109,"Salazar, Ken",01762,NA,CO,NA,FALSE,FALSE,2005-05-19,NA
s1010-109,"Snowe, Olympia J.",01085,NA,ME,NA,FALSE,FALSE,2005-05-12,NA
s1011-109,"Jeffords, James M.",00593,NA,VT,NA,TRUE,FALSE,2005-05-12,NA
s1012-109,"Kennedy, Edward M.",01377,NA,MA,NA,TRUE,FALSE,2005-05-12,NA
s1012-109,"Boxer, Barbara",00116,NA,CA,NA,FALSE,FALSE,2005-05-12,NA
s1012-109,"Cantwell, Maria",00172,NA,WA,NA,FALSE,FALSE,2005-05-12,NA
s1012-109,"Corzine, Jon S.",01630,NA,NJ,NA,FALSE,FALSE,2005-05-12,NA
s1012-109,"Dayton, Mark",01629,NA,MN,NA,FALSE,FALSE,2005-05-12,NA
s1012-109,"Dorgan, Byron L.",00308,NA,ND,NA,FALSE,FALSE,2005-05-12,NA
s1012-109,"Harkin, Tom",00501,NA,IA,NA,FALSE,FALSE,2005-05-12,NA
s1012-109,"Lautenberg, Frank R.",01381,NA,NJ,NA,FALSE,FALSE,2005-05-12,NA
s1012-109,"Levin, Carl",01384,NA,MI,NA,FALSE,FALSE,2005-05-12,NA
s1012-109,"Mikulski, Barbara A.",00802,NA,MD,NA,FALSE,FALSE,2005-05-12,NA
s1012-109,"Murray, Patty",01409,NA,WA,NA,FALSE,FALSE,2005-05-12,NA
s1012-109,"Reed, Jack",00949,NA,RI,NA,FALSE,FALSE,2005-05-12,NA
s1012-109,"Schumer, Charles E.",01036,NA,NY,NA,FALSE,FALSE,2005-05-12,NA
s1012-109,"Stabenow, Debbie",01531,NA,MI,NA,FALSE,FALSE,2005-05-12,NA
s1013-109,"Feinstein, Dianne",01332,NA,CA,NA,TRUE,FALSE,2005-05-12,NA
s1013-109,"Boxer, Barbara",00116,NA,CA,NA,FALSE,FALSE,2005-05-12,NA
s1013-109,"Clinton, Hillary Rodham",01631,NA,NY,NA,FALSE,FALSE,2005-05-12,NA
s1013-109,"Cornyn, John",01692,NA,TX,NA,FALSE,FALSE,2005-05-12,NA
s1013-109,"Corzine, Jon S.",01630,NA,NJ,NA,FALSE,FALSE,2005-05-12,NA
s1013-109,"Hutchison, Kay Bailey",01368,NA,TX,NA,FALSE,FALSE,2005-05-12,NA
s1013-109,"Kennedy, Edward M.",01377,NA,MA,NA,FALSE,FALSE,2005-05-12,NA
s1013-109,"Kerry, John F.",01379,NA,MA,NA,FALSE,FALSE,2005-05-16,NA
s1013-109,"Lautenberg, Frank R.",01381,NA,NJ,NA,FALSE,FALSE,2005-05-12,NA
s1013-109,"Martinez, Mel",01769,NA,FL,NA,FALSE,FALSE,2005-05-16,NA
s1013-109,"Nelson, Bill",00859,NA,FL,NA,FALSE,FALSE,2005-05-12,NA
s1013-109,"Santorum, Rick",01015,NA,PA,NA,FALSE,FALSE,2005-07-27,NA
s1013-109,"Schumer, Charles E.",01036,NA,NY,NA,FALSE,FALSE,2005-05-12,NA
s1013-109,"Stabenow, Debbie",01531,NA,MI,NA,FALSE,FALSE,2006-09-25,NA
s1014-109,"Snowe, Olympia J.",01085,NA,ME,NA,TRUE,FALSE,2005-05-12,NA
s1014-109,"Allen, George",00013,NA,VA,NA,FALSE,FALSE,2005-07-12,NA
s1014-109,"Burns, Conrad R.",01298,NA,MT,NA,FALSE,FALSE,2005-07-14,NA
s1014-109,"Coleman, Norm",01697,NA,MN,NA,FALSE,FALSE,2005-07-01,NA
s1014-109,"Isakson, Johnny",01608,NA,GA,NA,FALSE,FALSE,2005-07-25,NA
s1014-109,"Santorum, Rick",01015,NA,PA,NA,FALSE,FALSE,2005-09-08,NA
s1014-109,"Smith, Gordon H.",01549,NA,OR,NA,FALSE,FALSE,2005-11-08,NA
s1014-109,"Talent, Jim",01135,NA,MO,NA,FALSE,FALSE,2005-12-15,NA
s1014-109,"Thune, John",01534,NA,SD,NA,FALSE,FALSE,2005-11-10,NA
s1015-109,"DeMint, Jim",01605,NA,SC,NA,TRUE,FALSE,2005-05-12,NA
s1015-109,"Brownback, Sam",00137,NA,KS,NA,FALSE,FALSE,2006-05-04,NA
s1015-109,"Coburn, Tom",00212,NA,OK,NA,FALSE,FALSE,2006-05-04,NA
s1015-109,"Inhofe, James M.",00583,NA,OK,NA,FALSE,FALSE,2006-05-04,NA
s1016-109,"Martinez, Mel",01769,NA,FL,NA,TRUE,FALSE,2005-05-12,NA
s1016-109,"Feinstein, Dianne",01332,NA,CA,NA,FALSE,FALSE,2005-10-19,NA
s1016-109,"Nelson, Bill",00859,NA,FL,NA,FALSE,FALSE,2005-11-18,NA
s1017-109,"Chafee, Lincoln",01612,NA,RI,NA,TRUE,FALSE,2005-05-12,NA
s1017-109,"Baucus, Max",00066,NA,MT,NA,FALSE,FALSE,2005-05-12,NA
s1017-109,"Clinton, Hillary Rodham",01631,NA,NY,NA,FALSE,FALSE,2005-05-12,NA
s1017-109,"Corzine, Jon S.",01630,NA,NJ,NA,FALSE,FALSE,2005-05-12,NA
s1017-109,"Crapo, Mike",00250,NA,ID,NA,FALSE,FALSE,2005-05-12,NA
s1017-109,"Enzi, Michael B.",01542,NA,WY,NA,FALSE,FALSE,2005-05-12,NA
s1017-109,"Inhofe, James M.",00583,NA,OK,NA,FALSE,FALSE,2005-05-12,NA
s1017-109,"Jeffords, James M.",00593,NA,VT,NA,FALSE,FALSE,2005-05-12,NA
s1017-109,"Lautenberg, Frank R.",01381,NA,NJ,NA,FALSE,FALSE,2005-05-12,NA
s1017-109,"Murkowski, Lisa",01694,NA,AK,NA,FALSE,FALSE,2005-05-12,NA
s1017-109,"Vitter, David",01609,NA,LA,NA,FALSE,FALSE,2005-05-12,NA
s1018-109,"Sarbanes, Paul S.",01017,NA,MD,NA,TRUE,FALSE,2005-05-12,NA
s1018-109,"Allen, George",00013,NA,VA,NA,FALSE,FALSE,2005-05-17,NA
