bill_number,name,thomas_id,bioguide_id,state,district,sponsor,original_cosponsor,date_signed,date_withdrawn
s1-94,"McClellan, John L.",01393,NA,AR,NA,TRUE,FALSE,1975-01-14,NA
s1-94,"Eastland, James O.",01325,NA,MS,NA,FALSE,FALSE,1975-01-03,NA
s1-94,"Fong, Hiram L.",01333,NA,HI,NA,FALSE,FALSE,1975-01-03,NA
s1-94,"Griffin, Robert P.",01344,NA,MI,NA,FALSE,FALSE,1975-01-03,NA
s1-94,"Hruska, Roman L.",01362,NA,NE,NA,FALSE,FALSE,1975-01-03,NA
s1-94,"Mansfield, Mike",01389,NA,MT,NA,FALSE,FALSE,1975-01-03,NA
s1-94,"Moss, Frank E.",01406,NA,UT,NA,FALSE,FALSE,1975-01-03,NA
s1-94,"Scott, Hugh",01432,NA,PA,NA,FALSE,FALSE,1975-01-03,NA
s1-94,"Taft, Robert, Jr.",01445,NA,OH,NA,FALSE,FALSE,1975-01-03,NA
s1-94,"Tower, John G.",01449,NA,TX,NA,FALSE,FALSE,1975-01-03,NA
s10-94,"Ribicoff, Abraham A.",01422,NA,CT,NA,TRUE,FALSE,1975-01-15,NA
s10-94,"Weicker, Lowell P., Jr.",01453,NA,CT,NA,FALSE,FALSE,1975-01-03,NA
s100-94,"Pell, Claiborne",01417,NA,RI,NA,TRUE,FALSE,1975-01-15,NA
s100-94,"Inouye, Daniel K.",01369,NA,HI,NA,FALSE,FALSE,1975-01-03,NA
s100-94,"Mathias, Charles McC., Jr.",01391,NA,MD,NA,FALSE,FALSE,1975-01-03,NA
s1000-94,"Moss, Frank E.",01406,NA,UT,NA,TRUE,FALSE,1975-03-07,NA
s1000-94,"Hatfield, Mark O.",01352,NA,OR,NA,FALSE,FALSE,1975-01-03,NA
s1000-94,"McGee, Gale W.",01396,NA,WY,NA,FALSE,FALSE,1975-01-03,NA
s1001-94,"Moss, Frank E.",01406,NA,UT,NA,TRUE,FALSE,1975-03-07,NA
s1002-94,"Abourezk, James",01268,NA,SD,NA,TRUE,FALSE,1975-03-07,NA
s1003-94,"Percy, Charles H.",01418,NA,IL,NA,TRUE,FALSE,1975-03-07,NA
s1003-94,"Abourezk, James",01268,NA,SD,NA,FALSE,FALSE,1975-01-03,NA
s1003-94,"Curtis, Carl T.",01312,NA,NE,NA,FALSE,FALSE,1975-01-03,NA
s1003-94,"Goldwater, Barry",01340,NA,AZ,NA,FALSE,FALSE,1975-01-03,NA
s1003-94,"Hruska, Roman L.",01362,NA,NE,NA,FALSE,FALSE,1975-01-03,NA
s1003-94,"McGovern, George",01397,NA,SD,NA,FALSE,FALSE,1975-01-03,NA
s1003-94,"Young, Milton R.",01458,NA,ND,NA,FALSE,FALSE,1975-01-03,NA
s1004-94,"Scott, Hugh",01432,NA,PA,NA,TRUE,FALSE,1975-03-07,NA
s1004-94,"Schweiker, Richard S.",01431,NA,PA,NA,FALSE,FALSE,1975-01-03,NA
s1005-94,"Scott, Hugh",01432,NA,PA,NA,TRUE,FALSE,1975-03-07,NA
s1006-94,"Mathias, Charles McC., Jr.",01391,NA,MD,NA,TRUE,FALSE,1975-03-07,NA
s1007-94,"Dole, Robert J.",01318,NA,KS,NA,TRUE,FALSE,1975-03-07,NA
s1007-94,"Laxalt, Paul D.",01382,NA,NV,NA,FALSE,FALSE,1975-01-03,NA
s1008-94,"Packwood, Bob",01414,NA,OR,NA,TRUE,FALSE,1975-03-07,NA
s1009-94,"Stone, Richard (Dick)",01443,NA,FL,NA,TRUE,FALSE,1975-03-07,NA
s1009-94,"Bartlett, Dewey F.",01276,NA,OK,NA,FALSE,FALSE,1975-01-03,NA
s1009-94,"Beall, J. Glenn, Jr.",01278,NA,MD,NA,FALSE,FALSE,1975-01-03,NA
s1009-94,"Bentsen, Lloyd M.",01282,NA,TX,NA,FALSE,FALSE,1975-01-03,NA
s1009-94,"Brock, Bill",01291,NA,TN,NA,FALSE,FALSE,1975-01-03,NA
s1009-94,"Bumpers, Dale",01295,NA,AR,NA,FALSE,FALSE,1975-01-03,NA
s1009-94,"Cannon, Howard W.",01301,NA,NV,NA,FALSE,FALSE,1975-01-03,NA
s1009-94,"Chiles, Lawton",01304,NA,FL,NA,FALSE,FALSE,1975-01-03,NA
s1009-94,"Cranston, Alan",01311,NA,CA,NA,FALSE,FALSE,1975-01-03,NA
s1009-94,"Domenici, Pete V.",01319,NA,NM,NA,FALSE,FALSE,1975-01-03,NA
s1009-94,"Eastland, James O.",01325,NA,MS,NA,FALSE,FALSE,1975-01-03,NA
s1009-94,"Fannin, Paul J.",01330,NA,AZ,NA,FALSE,FALSE,1975-01-03,NA
s1009-94,"Garn, E. J. (Jake)",01338,NA,UT,NA,FALSE,FALSE,1975-01-03,NA
s1009-94,"Goldwater, Barry",01340,NA,AZ,NA,FALSE,FALSE,1975-01-03,NA
